Algorithm,InputType,Size,ExecutionTimeNs,MaxDepth,ExtraMetricName,ExtraMetricValue
MergeSort,Random,100,584000,5,Comparisons,573
QuickSort,Random,100,886400,4,Comparisons,586
MergeSort,Sorted,100,16800,5,Comparisons,288
QuickSort,Sorted,100,49800,4,Comparisons,609
MergeSort,Reverse-sorted,100,27000,5,Comparisons,460
QuickSort,Reverse-sorted,100,46400,4,Comparisons,618
MergeSort,Duplicate-heavy,100,26200,5,Comparisons,548
QuickSort,Duplicate-heavy,100,76700,2,Comparisons,1170
MergeSort,Random,1000,347400,8,Comparisons,9033
QuickSort,Random,1000,123200,6,Comparisons,10533
MergeSort,Sorted,1000,44700,8,Comparisons,4404
QuickSort,Sorted,1000,69500,7,Comparisons,9977
MergeSort,Reverse-sorted,1000,70800,8,Comparisons,6884
QuickSort,Reverse-sorted,1000,119800,7,Comparisons,10240
MergeSort,Duplicate-heavy,1000,126800,8,Comparisons,8325
QuickSort,Duplicate-heavy,1000,418100,3,Comparisons,102292
MergeSort,Random,5000,523300,10,Comparisons,58376
QuickSort,Random,5000,517200,8,Comparisons,80062
MergeSort,Sorted,5000,171000,10,Comparisons,27124
QuickSort,Sorted,5000,334300,8,Comparisons,74238
MergeSort,Reverse-sorted,5000,321600,10,Comparisons,44324
QuickSort,Reverse-sorted,5000,347700,8,Comparisons,71681
MergeSort,Duplicate-heavy,5000,332400,10,Comparisons,53008
QuickSort,Duplicate-heavy,5000,3509400,3,Comparisons,2507610
MergeSort,Random,10000,2166700,11,Comparisons,126848
QuickSort,Random,10000,738100,9,Comparisons,173966
MergeSort,Sorted,10000,862600,11,Comparisons,59248
QuickSort,Sorted,10000,393000,8,Comparisons,155681
MergeSort,Reverse-sorted,10000,2187300,11,Comparisons,93648
QuickSort,Reverse-sorted,10000,400100,9,Comparisons,160330
MergeSort,Duplicate-heavy,10000,2836300,11,Comparisons,115160
QuickSort,Duplicate-heavy,10000,7280500,3,Comparisons,10028508
MergeSort,Random,25000,5376100,13,Comparisons,339503
QuickSort,Random,25000,2325100,10,Comparisons,430403
MergeSort,Sorted,25000,310300,13,Comparisons,171668
QuickSort,Sorted,25000,645500,10,Comparisons,418800
MergeSort,Reverse-sorted,25000,663300,13,Comparisons,213220
QuickSort,Reverse-sorted,25000,960100,10,Comparisons,428694
MergeSort,Duplicate-heavy,25000,1012200,13,Comparisons,310527
QuickSort,Duplicate-heavy,25000,37445100,2,Comparisons,62577925
DeterministicSelect,Random,100,1227600,6,Comparisons,626
DeterministicSelect,Sorted,100,43400,6,Comparisons,509
DeterministicSelect,Reverse-sorted,100,41500,6,Comparisons,668
DeterministicSelect,Duplicate-heavy,100,71000,13,Comparisons,961
DeterministicSelect,Random,1000,315100,11,Comparisons,7817
DeterministicSelect,Sorted,1000,167500,10,Comparisons,6314
DeterministicSelect,Reverse-sorted,1000,104800,11,Comparisons,7459
DeterministicSelect,Duplicate-heavy,1000,1126900,103,Comparisons,179720
DeterministicSelect,Random,5000,143100,12,Comparisons,20466
DeterministicSelect,Sorted,5000,177700,12,Comparisons,33478
DeterministicSelect,Reverse-sorted,5000,198300,11,Comparisons,38574
DeterministicSelect,Duplicate-heavy,5000,119887000,551,Comparisons,30030448
DeterministicSelect,Random,10000,443900,14,Comparisons,78467
DeterministicSelect,Sorted,10000,157200,15,Comparisons,67923
DeterministicSelect,Reverse-sorted,10000,163900,13,Comparisons,77006
DeterministicSelect,Duplicate-heavy,10000,1030543300,1131,Comparisons,541298698
DeterministicSelect,Random,25000,670000,15,Comparisons,203661
DeterministicSelect,Sorted,25000,322200,15,Comparisons,172577
DeterministicSelect,Reverse-sorted,25000,358500,14,Comparisons,194633
DeterministicSelect,Duplicate-heavy,25000,59637297800,2727,Comparisons,33299111195
ClosestPair,Random,100,4179700,7,DistanceChecks,132
ClosestPair,Random,500,950200,9,DistanceChecks,554
ClosestPair,Random,1000,2234600,10,DistanceChecks,1140
ClosestPair,Random,2000,3134400,11,DistanceChecks,2285
ClosestPair,Random,5000,4690700,12,DistanceChecks,6444
ClosestPair,Random,10000,18258200,13,DistanceChecks,12952
